Below is a curated “last‑12‑months” (≈ **Feb 28, 2025 → Feb 28, 2026**, Asia/Taipei) paper scout for **AI Safety × NLP/Speech** across your 8 topics, prioritizing **arXiv + top venues** (NeurIPS/ICLR/ICML/ACL/EMNLP/Interspeech + workshops).

Notes:

* “Speech LLM / Audio LLM / LALM / ALLM” naming varies; I’m grouping by **end‑to‑end speech/audio ↔ text models** and **speech‑enabled agent stacks**.
* Where a topic is still sparse, I still give you the best matches in-window and call out gaps.

---

## 1) Speech jailbreak / audio prompt injection (5–10)

| Title                                                                                                                       |                        Venue / Date | Link                               | 2‑sentence summary                                                                                                                                                                                                                                                | Method type | Why it matters for AI safety                                                                                                                  | Limitations / gaps                                                                                                                                    |
| Benchmarking Gaslighting Attacks Against Speech Large Language Models                                          |    arXiv (Sep 24, 2025) | arXiv ([arXiv][11])                 | Defines “gaslighting” as manipulation strategies (anger, sarcasm, cognitive disruption, etc.) to degrade model reasoning/behavior in speech settings, and evaluates across speech/multimodal LLMs. Reports substantial performance degradation under these manipulative prompts.                 | attack      | Directly targets the **human‑facing trust channel** in speech—where persuasion and tone can override safe behavior.           | Focuses on accuracy drops/behavioral shifts; needs downstream harm modeling (e.g., compliance, policy violations) and defenses beyond detection. |
| Aegis: Towards Governance, Integrity, and Security of AI Voice Agents                                          |     arXiv (Feb 7, 2026) | arXiv ([arXiv][12])                 | Proposes a red‑teaming framework for real-world voice agents (banking/IT/logistics) grounded in realistic adversary tactics and multi‑turn conversational dynamics. Finds open‑weight models tend to be more susceptible and recommends layered defenses (access control + monitoring + policy). | eval        | Bridges “model-level safety” to **deployment reality**, where deception/social engineering is often the primary threat.       | Emphasizes scenario evaluation; still needs standardized benchmarks and reproducible agent stacks so results generalize across vendors.          |
| Benchmarking and Investigating AI Deceptive Behaviors in LLM‑based Agents (OpenDeception)                      |        arXiv (Apr 2025) | arXiv PDF ([arXiv][13])             | Introduces an open-ended deception evaluation framework that inspects intent/capability of agent deception across scenarios. Though not speech-specific, the framework maps well onto voice agents where deception can be amplified by paralinguistics.                                          | eval        | Gives a **measurement scaffold** for “scheming-like” behaviors that can be ported into speech-agent environments.             | Lacks audio-native channels (tone/identity cues) and speech turn-taking dynamics unless extended.                                                |
| Cross‑Modality Jailbreak Transfer in Omni‑Models                                                               |        arXiv (Feb 2026) | arXiv ([arXiv][14])                 | Studies how jailbreaks can transfer across modalities in omni models, implying attacks can originate in one channel (e.g., audio) and manifest in another. Highlights that “safety in one modality” does not guarantee safety in the full multimodal system.                                     | eval        | A core “scheming surface” in multimodal assistants: cross-channel transfer enables stealthy attack chaining.                  | Often tests limited model sets and stylized prompts; needs real-time speech + tool-use agent settings.                                           |
| Cloning a Conversational Voice AI Agent from Call Recordings using Prompt Engineering and Targeted Fine‑Tuning |        arXiv (Sep 2025) | arXiv PDF ([arXiv][15])             | Demonstrates cloning a persuasive conversational agent from call recordings via prompt engineering and targeted fine‑tuning in a telesales domain. Raises concerns about scalable creation of convincing voice agents for manipulation.                                                          | eval        | Connects model capability to **misuse scaling** (e.g., scam/persuasion at voice-channel bandwidth).                           | Primarily capability-focused; lacks systematic safety mitigations and abuse-resistant deployment guidance.                                       |
| Evaluation of the Deception Detection Capabilities of LLMs                                                     | ACL 2025 (Jul/Aug 2025) | ACL Anthology ([ACL Anthology][16]) | Evaluates how well LLMs detect deception across datasets and prompting styles, including multimodal features in some settings. Useful as a baseline for building “deception monitors” for speech agents.                                                                                         | eval        | Deception detection is a plausible component of **scalable oversight** for voice assistants interacting with untrusted users. | Detection ≠ prevention; speech-native signals and real-time conversation constraints need explicit integration.                                  |
| SVC 2025: The First Multimodal Deception Detection Challenge                                                   |        arXiv (Aug 2025) | arXiv ([arXiv][17])                 | Introduces a multimodal deception detection challenge/benchmark, supporting evaluation of models that must infer deceptive behavior from multimodal cues. Provides data/task framing for deception monitoring that can be adapted to voice-agent oversight.                                      | eval        | Supplies a concrete dataset handle for “deception monitoring,” a safety-relevant capability for voice agents.                 | Not specific to speech-text assistants; may focus on audiovisual cues rather than LALM conversational deception.                                 |

---

## 3) Scalable oversight for speech agents (5–10)

| Title                                                                                                                 |                      Venue / Date | Link                          | 2‑sentence summary                                                                                                                                                                                                                                                                      | Method type | Why it matters for AI safety                                                                                                                   | Limitations / gaps                                                                                                                                |
| --------------------------------------------------------------------------------------------------------------------- | --------------------------------: | ----------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------- |
| Aligning Spoken Dialogue Models from User Interactions                                                                |    ICML 2025 (arXiv Jun 26, 2025) | arXiv ([arXiv][18])           | Builds a large preference dataset from raw multi‑turn speech conversations labeled with AI feedback, then uses offline alignment to fine‑tune a full‑duplex speech‑to‑speech model. Reports improvements in factuality, safety, and contextual alignment beyond single-turn evaluation. | defense     | Strong template for **scalable preference data** in speech and an alignment recipe for speech-to-speech systems.                               | AI feedback quality and reward hacking risk need more auditability; cross-lingual and adversarial robustness are not the main focus.              |
| Process‑Supervised Reinforcement Learning for Interactive Multimodal Tool‑Use Agents (TARL)                           | OpenReview / arXiv (Sep 17, 2025) | OpenReview ([OpenReview][19]) | Introduces turn-level adjudication using an LLM judge for credit assignment in long-horizon tool-use; supports speech-based user simulation in an RL sandbox. Demonstrates training gains including a multimodal voice agent on interleaved speech‑text interactions.                   | defense     | A concrete route to **process supervision** for speech agents that must call tools—key for scalable oversight beyond RLHF on static responses. | Judge reliability and reward hacking remain concerns; “speech realism” in simulation and transfer to real users/devices needs further validation. |
| LALM‑as‑a‑Judge: Benchmarking Large Audio‑Language Models for Safety Evaluation in Multi‑Turn Spoken Dialogues        |               arXiv (Feb 4, 2026) | arXiv ([arXiv][20])           | Creates 24k multi-turn spoken dialogues with controlled unsafe content and evaluates LALMs as safety judges across audio-only, transcript-only, and multimodal inputs. Finds transcription quality is a bottleneck and highlights trade-offs between sensitivity and stability.         | eval        | Establishes an audio-native path to **LLM-as-a-judge oversight** for voice conversations (including ASR error effects).                        | Synthetic dialogues may miss real conversational drift; extending to multilingual, real audio, and tool-use dialogues is necessary.               |
| AudioTrust: Benchmarking the Multifaceted Trustworthiness of Audio Large Language Models                              |              arXiv (May 22, 2025) | arXiv ([arXiv][21])           | Proposes a trustworthiness benchmark across fairness, hallucination, safety, privacy, robustness, and authentication with audio-specific metrics and scenarios. Uses an automated evaluation pipeline for scalable scoring.                                                             | eval        | Helps define what “trustworthy” means for audio-native assistants and enables scalable regression testing.                                     | Automated scoring can miss subtle harms and context; needs stress tests for real-time streaming and agentic tool-use settings.                    |
| Speech‑Hands: A Self‑Reflection Voice Agentic Approach to Speech Recognition and Audio Reasoning with Omni Perception |              arXiv (Jan 14, 2026) | arXiv ([arXiv][22])           | Introduces a self-reflection mechanism that decides when to trust internal perception vs consult external audio perception, motivated by findings that naïve multi-task fine‑tuning can degrade performance. Shows improvements on ASR and audio reasoning benchmarks.                  | defense     | “Know‑when‑you‑don’t‑know” is a practical oversight primitive for speech agents that must act under noisy perception.                          | Focused on perception reliability; needs explicit integration with safety policy compliance and adversarial user behavior.                        |
| SARSteer: Safeguarding Large Audio Language Models via Safe‑Ablated Refusal Steering                                  |              arXiv (Oct 20, 2025) | arXiv ([arXiv][23])           | Proposes inference-time refusal steering adapted to LALMs, with “safe-space ablation” to reduce over‑refusal on benign speech queries. Targets the mismatch between text-derived steering and audio activation distributions.                                                           | defense     | Attractive as **deployable oversight**: inference-time control without full retraining, aimed at reducing over‑refusal (a key product risk).   | Likely brittle to distribution shift and evolving jailbreaks; rigorous eval under realistic acoustic scenes and streaming is needed.              |
| VoiceAgentBench: Are Voice Assistants ready for agentic tasks?                                                        |               arXiv (Oct 9, 2025) | arXiv ([arXiv][24])           | Introduces a benchmark for tool-using voice assistants with multilingual/cultural coverage (Indic languages) and includes safety/adversarial robustness evaluation. Reveals gaps in multi-tool orchestration, multi-turn handling, and robustness.                                      | eval        | Gives an actionable harness for **oversight of speech agents** that take actions (tools) rather than only answer questions.                    | Heavy use of synthetic speech and tool schemas; needs real user audio, realistic latency constraints, and stronger adversary models.              |
| Reject or Not?: A Benchmark for Voice Assistant Query Rejection in Smart Home Scenario (Chinese)                      |              arXiv (Dec 11, 2025) | arXiv ([arXiv][25])           | Releases a Chinese multimodal dataset for deciding whether to accept/reject smart-home queries, including ASR-error and non-speech cases, plus a personalization approach. Provides structured labels and context for evaluation and fine-tuning.                                       | eval        | Rejection is a critical safety gate in home assistants; benchmarking it in non-English settings reduces blind spots.                           | Domain-specific (smart home) and language-specific; generalization to open-domain voice agents and multi-tool environments remains open.          |

---

## 4) Mechanistic interpretability for speech LLMs (5–10)

| Title                                                                                                    |                   Venue / Date | Link                     | 2‑sentence summary                                                                                                                                                                                                                                 | Method type      | Why it matters for AI safety                                                                                                              | Limitations / gaps                                                                                                                    |
| -------------------------------------------------------------------------------------------------------- | -----------------------------: | ------------------------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------- | ----------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------- |
| AR&D: A Framework for Retrieving and Describing AudioLLM Behaviors and Mechanisms                        |           arXiv (Feb 27, 2026) | arXiv ([arXiv][26])      | Proposes a mechanistic interpretability pipeline for AudioLLMs, extending sparse autoencoder-style tooling to audio-language internals to retrieve and describe behaviors. Aims to connect observable behaviors with internal features/mechanisms. | interpretability | Mechanistic handles are prerequisites for **auditable safety interventions** (e.g., “remove jailbreak feature without breaking utility”). | Early-stage tooling; needs replicated results across architectures and clear causal validations (intervention, not just correlation). |
| Beyond Transcription: Mechanistic Interpretability in ASR                                                |           arXiv (Aug 20, 2025) | arXiv ([arXiv][27])      | Applies mechanistic interpretability ideas to ASR beyond simple transcription accuracy, likely probing internal pathways that govern errors and behaviors. Frames interpretability as a lens for improving reliability in speech processing.       | interpretability | Many speech-agent failures originate in ASR; understanding internal error modes supports safer downstream behavior.                       | Focus is ASR-centric, not end-to-end speech-to-speech agents; linking findings to safety policy outcomes is still indirect.           |
| Behind the Scenes: Mechanistic Interpretability of LoRA‑adapted Whisper for Speech Emotion Recognition   |           arXiv (Sep 10, 2025) | arXiv ([arXiv][28])      | Studies how LoRA adaptation changes Whisper internals for emotion recognition, using mechanistic interpretability tools to localize behavioral changes. Useful for understanding adaptation-induced shifts.                                        | interpretability | Safety tuning and task adaptation can introduce hidden behavior changes; interpretability can detect unintended shifts.                   | Task-specific (SER) and model-specific (Whisper); generalizing to LALMs and safety alignment is nontrivial.                           |
| AudioLens: A Closer Look at Auditory Attribute Perception in Large Audio‑Language Models                 |            arXiv (Jun 5, 2025) | arXiv ([arXiv][29])      | Uses analysis/probing (e.g., “lens” techniques) to study how LALMs represent and use auditory attributes. Helps map what parts of the model carry which auditory concepts.                                                                         | interpretability | Understanding “what the model hears” is core to building robust safety filters and preventing jailbreak triggers via acoustic cues.       | Often correlational; needs causal interventions and explicit links to safety-critical failure modes.                                  |
| Demystifying Representation Spaces of Multilingual and Multimodal Aspects in Large Audio Language Models | OpenReview workshop (Oct 2025) | OpenReview ([arXiv][29]) | Probes how multilingual/multimodal information is organized in LALM representation spaces, helping explain cross-lingual or cross-modal behavior. Provides empirical characterization of embeddings/latent structure.                              | interpretability | Cross-lingual safety failures often arise from representation mismatch; this helps target where to intervene.                             | Workshop scope; may not include causal tests or safety-specific datasets/metrics.                                                     |
| On the Reliability of Feature Attribution Methods for Speech Classification                              |           arXiv (May 23, 2025) | arXiv ([arXiv][30])      | Evaluates whether attribution/saliency methods for speech models are stable and trustworthy under speech classification settings. Highlights failure modes of interpretability tools themselves.                                                   | interpretability | Safety teams rely on interpretability for audits; unreliable attributions can mislead mitigation.                                         | Not speech LLM-specific; extends most directly to audio encoders/classifiers rather than speech-to-speech agents.                     |
| Mechanistic Interpretability of Brain‑to‑Speech Models                                                   |            arXiv (Feb 2, 2026) | arXiv ([arXiv][31])      | Applies mechanistic interpretability methods to brain-to-speech decoding models, aiming to explain internal mappings from neural signals to speech outputs. Demonstrates interpretability in a high-stakes speech generation domain.               | interpretability | Shows interpretability can work in **safety-critical speech generation** contexts, relevant to future neuro/assistive speech agents.      | Not directly about LALMs; transfer to audio-language reasoning and jailbreak behaviors is indirect.                                   |

---

## 5) Safety benchmarks for audio‑native assistants (5–10)

| Title                                                                                    |                              Venue / Date | Link                                | 2‑sentence summary                                                                                                                                                                                                                                 | Method type | Why it matters for AI safety                                                                                                           | Limitations / gaps                                                                                             |
| ---------------------------------------------------------------------------------------- | ----------------------------------------: | ----------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------- | -------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------- |
| AudioTrust: Benchmarking the Multifaceted Trustworthiness of Audio Large Language Models |                      arXiv (May 22, 2025) | arXiv ([arXiv][21])                 | Defines a multifaceted benchmark spanning safety, privacy, robustness, authentication, fairness, and hallucination in audio scenarios. Includes audio-specific metrics and real-world-like setups.                                                 | eval        | Broad trustworthiness coverage is needed for audio assistants deployed in sensitive settings (calls, emergencies, home).               | Automated judges and curated scenarios may miss open-world distribution shift.                                 |
| Audio Jailbreak: AJailBench                                                              |                      arXiv (May 21, 2025) | arXiv ([arXiv][9])                  | Provides a jailbreak benchmark for large audio-language models plus a perturbation toolkit to stress models under semantically consistent distortions. Enables systematic comparison across models.                                                | eval        | Establishes a de facto baseline for **audio jailbreak regression testing**.                                                            | Many prompts are TTS-derived; needs more natural conversational audio and streaming evaluations.               |
| JALMBench                                                                                |                      arXiv (May 23, 2025) | arXiv ([arXiv][8])                  | Large-scale benchmark with many ALMs, attacks, and defenses, enabling analysis by voice diversity and topic sensitivity. Offers a unifying framework for jailbreak safety evaluation.                                                              | eval        | Helps standardize evaluation so claims about “robust” audio models are comparable.                                                     | Benchmark design may lag emerging attack types (narrative/compositional/agentic).                              |
| Jailbreak‑AudioBench: In‑Depth Evaluation and Analysis of Audio Jailbreak                | NeurIPS 2025 (Datasets/Benchmarks poster) | NeurIPS ([NeurIPS][32])             | Presents a comprehensive audio jailbreak benchmark dataset and evaluates state-of-the-art LALMs. Positions the benchmark as a foundation for more powerful future jailbreak threats and defenses.                                                  | eval        | NeurIPS visibility + benchmark framing accelerates community convergence on shared metrics.                                            | Details depend on dataset scope; needs long-horizon conversational and tool-use speech settings.               |
| Omni‑SafetyBench: Safety Evaluation of Audio‑Visual Large Language Models                |                      arXiv (Aug 10, 2025) | arXiv ([arXiv][33])                 | First parallel benchmark for omni models across many modality combinations, introducing safety and cross‑modal consistency metrics. Finds models can be safe in one modality but unsafe/inconsistent in others.                                    | eval        | Audio assistants increasingly integrate vision; safety must be tested under **joint audio‑visual** inputs and consistency constraints. | Not speech-only; expanding to tool-use voice agents and real-time streaming remains needed.                    |
| SACRED‑Bench + SALMONN‑Guard                                                             |                      arXiv (Nov 13, 2025) | arXiv ([arXiv][10])                 | Red-teaming benchmark focused on complex audio scenes (overlap, mixtures, multi-speaker), plus an audio-aware guard model that reduces attack success. Tests cross‑modal speech+audio compositions.                                                | eval        | Benchmarks “messy real audio” that production assistants face, not clean single-utterance prompts.                                     | Benchmark breadth can explode; needs standardized subsets and multilingual expansion.                          |
| WildSpeech‑Bench: Benchmarking Audio LLMs in Natural Speech Conversation                 |                      arXiv (Jun 27, 2025) | arXiv ([arXiv][34])                 | Builds a benchmark targeting natural spoken conversation phenomena (prosody, homophones, stuttering) and proposes query-aware evaluation checklists. Highlights large differences across speech models in realistic scenarios.                     | eval        | Many safety failures are triggered by **misunderstanding**; robust natural conversation evaluation is a prerequisite to safety.        | Focuses on overall conversational quality; needs explicit safety policy evaluation and adversarial conditions. |
| LALM‑as‑a‑Judge                                                                          |                       arXiv (Feb 4, 2026) | arXiv ([arXiv][20])                 | Benchmark for using LALMs as safety judges in multi-turn spoken dialogue with controlled unsafe insertions and severity scales. Shows transcription quality strongly affects judge sensitivity.                                                    | eval        | Offers scalable audio-native safety scoring, crucial for continuous evaluation of voice assistants.                                    | Synthetic dialogues; needs real conversational audio, multilingual and code-switching.                         |
| MULTIVOX: Benchmark for Voice Assistants for Multimodal Interactions                     |                     EMNLP 2025 (Nov 2025) | ACL Anthology ([ACL Anthology][35]) | Provides a benchmark of recorded dialogues focusing on paralinguistic cues (pitch, emotion, timbre, volume) plus visual context for omni voice assistants. Targets multimodal understanding beyond transcript text.                                | eval        | Safety often depends on tone/emotion; MultiVox makes it measurable instead of ignoring paralinguistics.                                | Not a safety benchmark per se; needs safety-policy labeling and attack suites.                                 |
| Reject or Not? (Smart‑home query rejection, Chinese)                                     |                      arXiv (Dec 11, 2025) | arXiv ([arXiv][25])                 | Provides the first Chinese-oriented benchmark for smart-home query rejection with multimodal text-speech pairs and fine-grained dialogue types including ASR-error. Proposes a personalized rejection architecture using dialogue history and RAG. | eval        | Rejection gating is safety-critical; this benchmark advances non-English audio assistant reliability.                                  | Domain-specific; transferability to open-domain voice assistants and tool-use agents is unclear.               |

---

## 6) Cross‑lingual safety robustness in speech systems (5–10)

| Title                                                                                      |                       Venue / Date | Link                                | 2‑sentence summary                                                                                                                                                                                                       | Method type      | Why it matters for AI safety                                                                                         | Limitations / gaps                                                                                                |
| ------------------------------------------------------------------------------------------ | ---------------------------------: | ----------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ---------------- | -------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------- |
| Multilingual and Multi‑Accent Jailbreaking of Audio LLMs                                   |                arXiv (Apr 1, 2025) | arXiv PDF ([arXiv][31])             | Studies jailbreak vulnerability of audio LLMs across **languages and accents**, showing diversity in linguistic/audio inputs can amplify vulnerabilities. Motivates cross-lingual threat modeling for speech assistants. | attack           | Real assistants must handle accents + multilingual speech; safety robustness cannot be English-only.                 | Needs broader device/channel evaluation and defenses; also extends beyond jailbreak to misinformation/persuasion. |
| Code‑Switching Red‑Teaming: LLM Evaluation for Safety (text-focused but directly relevant) |            ACL 2025 (Jul/Aug 2025) | ACL Anthology ([arXiv][36])         | Evaluates safety under code-switching prompts, highlighting failures when languages are mixed. Provides red-teaming patterns that can be ported to speech via TTS/real recordings.                                       | eval             | Code-switching is common in speech; safety policies often degrade under mixed-language inputs.                       | Not audio-native; speech-specific phenomena (accent, ASR errors, prosody) remain untested.                        |
| Lost in Translation? A Comparative Study on Cross‑Lingual Safety Transfer                  |                arXiv (Feb 8, 2026) | arXiv ([NeurIPS][32])               | Compares how safety behaviors transfer across languages and identifies translation-related safety distortions. Highlights failure modes when relying on translation layers for moderation.                               | eval             | Many voice systems translate speech→English→policy; this quantifies risks of that pipeline.                          | Needs speech-native validation (ASR + translation compounding errors) and real conversational contexts.           |
| Who Transfers Safety? Identifying and Targeting Cross‑Lingual Safety Mechanisms            |                arXiv (Feb 2, 2026) | arXiv ([arXiv][37])                 | Studies cross-lingual safety transfer mechanisms and proposes targeting strategies for improving safety across languages. Aims to pinpoint which components carry safety behaviors between languages.                    | interpretability | Supports more principled multilingual safety alignment and diagnosis of where safety “drops.”                        | Primarily text-level; coupling with speech encoders and ASR noise remains an open extension.                      |
| Enforcing Multilingual Consistency for LLM Safety Alignment                                |               arXiv (Feb 18, 2026) | arXiv ([arXiv][30])                 | Proposes alignment methods that enforce consistent safety behavior across languages. Addresses the “safe in English, unsafe elsewhere” problem.                                                                          | defense          | Essential for global deployment of speech assistants; inconsistency is a major regulatory and ethical risk.          | Needs end-to-end speech evaluation and multilingual spoken datasets with realistic accents/code-switching.        |
| Multilingual Safety Alignment via Sparse Weight Editing                                    |               arXiv (Feb 26, 2026) | arXiv ([arXiv][28])                 | Uses sparse edits to improve multilingual safety alignment, aiming for targeted changes with less collateral damage. Positioned as an efficient alignment approach.                                                      | defense          | If it transfers to speech stacks, it could reduce the cost of multilingual safety upgrades.                          | Speech stacks add acoustic variability; effects under ASR errors and spoken dialogue remain unknown.              |
| Multilingual Blending: Safety Alignment Evaluation with Language Mixture                   | NAACL 2025 Findings (Apr/May 2025) | ACL Anthology ([arXiv][27])         | Evaluates safety alignment when languages are mixed, modeling realistic user language blending. Highlights risks of “partial translation” and mixed-language prompts.                                                    | eval             | Spoken conversation often blends languages; this suggests how to design multilingual safety tests for speech agents. | Text-first; should be replicated with speech input and ASR/translation artifacts.                                 |
| The State of Multilingual LLM Safety Research                                              |              EMNLP 2025 (Nov 2025) | ACL Anthology ([ACL Anthology][38]) | Surveys/organizes current multilingual safety research and gaps, including language coverage and evaluation issues. Useful orientation to avoid reinventing “English-only safety.”                                       | eval             | Provides a roadmap for where multilingual safety is failing and where benchmarks are missing.                        | Not speech-specific; speech adds accent/ASR/phonetic attack surfaces.                                             |
